Nom;co OACI
  Castellet;LFMQ
  Cuers - Pierrefeu;LFTF
  Fayence - Tourrettes;LFMF
  Fréjus;LFTU
  Luc - Le Cannet;LFMC
  La Môle - Saint-Tropez;LFTZ
Héliport  Grimaud;
  Toulon-Hyères;LFTH
  Vinon;LFNF
 Avignon - Caumont;LFMV
 Orange Plan  Dieu;LF51
  Carpentras;LFNH
Base aérienne d'Orange Caritat;LFMO
  Pont-Saint-Esprit;LFND
Base Aérienne  Saint-Christol;LFXI
  Valréas - Visan;LFNV
  Beauvoir - Fromentine;LF8561
  Fontenay-le-Comte;LFFK
  L'Île-d'Yeu;LFEY
  Montaigu - Saint-Georges;LFFW
  La Roche-sur-Yon - Les Ajoncs;LFRI
 s Sables-d'Olonne - Talmont;LFOO
  Châtellerault - Targé;LFCA
  Chauvigny;LFDW
  Couhé - Vérac;LFDV
  Loudun;LFDL
  Poitiers-Biard;LFBI
  Limoges-Bellegar;LFBL
  Saint-Junien;LFBJ
Base aérienne  Damblain;LFYD
 Épinal - Dogneville;LFSE
 Épinal-Mirecourt;LFSG
  Neufchâteau;LFFT
  Saint-Dié - Remomeix;LFGY
  Vittel - Champ  courses;LFSZ
  Saint-Florentin - Chéu;LFGP
  Joigny;LFGK
  Pont-sur-Yonne;LFGO
 Auxerre - Branches;LFLA
 Avallon;LFGE
  Belfort - Chaux;LFGG
  Belfort - Fontaine;LFSQ
  Buno-Bonnevaux;LFFB
 Étampes - Mondésir;LFOX
Base aérienne 217 Brétigny-sur-Orge;LFPY
  La Ferté-Alais;LFFQ
 Paris-Le Bourget;LFPB
 Paris-Orly;LFPO
 Paris-Charles--Gaulle;LFPG
  Persan - Beaumont;LFPA
Enghien - Moisselles;LFFE
  Mantes - Chérence;LFFC
  Pontoise - Cormeilles-en-Vexin;LFPT
  La Réunion-Roland-Garros;FMEE
  Pierrefonds;FMEP
Ahe;NTHE
Anaa;NTGA
Apataki;NTGD
Aratika Nord;NTKK
Aratika Perles;NTGR
Arutua;NTGU
  Bora Bora;NTTB
Faaite;NTKF
Fakahina;NTKH
Fakarava;NTGF
Fangatau;NTGB
Hao;NTTO
  Hikueru;NTGH
  Hiva Oa;NTMN
  Huahine;NTTH
  Katiu;NTKT
  Kauehi;NTKA
  Kaukura;NTGK
  Makemo;NTGM
  Manihi;NTGI
  Mataiva;NTGV
  Maupiti;NTTP
  Moorea;NTTM
  Napuka;NTGN
  Niau;NTKN
  Nuku Hiva;NTMD
  Nukutavake;NTGW
 international Tahiti Faa'a;NTAA
  Puka Puka;NTGP
  Pukarua;NTGQ
  Raiatea;NTTR
  Raivavae;NTAV
  Rangiroa;NTTG
  Reao;NTGE
  Rurutu;NTAR
  Takapoto;NTGT
  Takaroa;NTKR
  Takume;NTKM
  Tatakoto;NTGO
Tetiaroa;NTTE
Tikehau;NTGC
Tubuai;NTAT
Tureia;NTGY
Ua Huka;NTMU
Ua Pou;NTMP
Vahitahi;NTUV
Totegegie;NTGJ
